shpall	të kishin shpallur	V;3;PL;SBJV;PRF;PST
thithë	thithe	N;DAT;SG;NDEF
shikoj	do të kishit shikuar	V;2;PL;COND;PRF
fillim	fillimi	N;ACC;SG;NDEF
dajë	daje	N;GEN;PL;NDEF
bëhem	bo të dëhenin	V;3;PL;COND;PRS
udhëheq	paskëshin udhuar	V;3;PL;ADM;PRF;PST
pshurr	të ketë pshurrur	V;3;SG;SBJV;PRF
puthje	puthjeve	N;GEN;PL;DEF
dëmtoj	duke pasë dëmtuar	V;V.PTCP;PST
përfitoj	do të përfituar	V;1;SG;IND;PRF;FUT
zbukuroj	të zbukuroi	V;1;SG;SBJV;PST
mardh	të ketë mardhur	V;3;SG;SBJV;PRF
flirtoj	të kenë flirtuar	V;3;PL;SBJV;PRF
hidhërohem	qofsh sulmuar	V;2;SG;OPT;PRF
abrogoj	do të kishim abroguar	V;1;PL;COND;PRF
justifikoj	të isha justifikuar	V;1;SG;SBJV;PRF;PST
bashkëveproj	të bashkëveproni	V;2;PL;SBJV;PRS
buzëqesh	buzëqesha	V;1;PL;IND;PST
lë	lu	V;2;PL;IMP
zbuloj	zbuloftëmi	V;1;PL;COND;PRS
vazhdoj	të vazhdoje	V;2;SG;SBJV;PRS
krah	kraheve	N;GEN;PL;DEF
votoj	votojë	V;1;SG;SBJV;PRS
fërgoj	të fërgojë	V;3;SG;SBJV;PRS
kundërthem	të kundërthen	V;2;SG;SBJV;PST
ndërlikoj	të ndërlikoni	V;3;PL;SBJV;PRS
ndihmoj	kanë ndihmuar	V;3;PL;IND;PRF
shtëpi	shtëpiqeve	N;DAT;PL;DEF
prodhoj	paskeni prodhuar	V;2;PL;OPT;PRF
krijoj	krijonë	V;3;SG;COND;PRS
femër	femëri	N;DAT;SG;DEF
besoj	besofth	V;2;PL;OPT;PRS
thek	thenë	V;3;SG;ADM;PRS
ligjëroj	ligjëronë	V;3;SG;COND;PRS
dorëzohem	të isha dorëzuar	V;1;SG;SBJV;PRF;PST
relaksohem	të kenë relaksuar	V;3;PL;SBJV;PRF
hap	hanë	V;2;SG;COND;PRS
gaboj	paske gabuar	V;2;SG;IND;PRF;PST
kuptoj	do të kishin kuptuar	V;3;PL;COND;PRF
mënd	të mëndua	V;1;SG;SBJV;PST
zonë	zonat	N;GEN;PL;DEF
shkatërroj	do të kishin shkatërruar	V;3;PL;OPT;PRF
adhuroj	të adhuroji	V;3;SG;SBJV;PST
njeri	njerii	N;DAT;SG;NDEF
bashkëpunëtor	bashkëpunëtore	N;ABL;SG;NDEF
vyshkem	të vyshken	V;3;PL;SBJV;PRS
gëzoj	gëzonit	V;2;PL;IND;IPFV
dëmtoj	dëmtoi	V;3;SG;IND;PST
arratisem	të kishe arratisuar	V;2;SG;SBJV;PRF;PST
shkretoj	do të shkretojë	V;1;SG;IND;FUT
parapëlqej	parapëlqemi	V;1;PL;OPT;PRS
biletë	bilete	N;GEN;PL;DEF
përkëdhel	përkëdhelua	V;1;SG;SBJV;PST
radiolog	radiologesh	N;ABL;PL;NDEF
themeloj	themelonë	V;2;SG;COND;PRS
zgjedh	pata zgjedha	V;1;SG;IND;PRF;PST
grafik	grafike	N;ACC;PL;NDEF
dimër	dimërin	N;ACC;PL;NDEF
filloj	paskësh vfilluar	V;3;SG;ADM;PRF;PST
ligj	ligje	N;GEN;SG;NDEF
orgazmë	orgazma	N;NOM;PL;DEF
dashuroj	patë dashuruar	V;2;SG;IND;PRF;PST
abdikoj	abdikuar	V;1;SG;OPT;PRF
peshoj	të ke peshuar	V;1;SG;SBJV;PRF
zhvirgjërohem	zhvirgjërohu	V;2;SG;ADM;PRS
ndaloj	ndaloi	V;3;SG;IND;PST
zdrukthëtar	zdrukthëtareve	N;ABL;PL;DEF
shtyp	shtypis	V;1;SG;COND;PRS
thjeshtësi	thjeshtësis	N;ABL;SG;DEF
përmirësoj	të përmirësove	V;2;SG;SBJV;PST
mësohem	mësohen	V;3;PL;ADM;PRS
vendos	paskashim venduar	V;1;PL;ADM;PRF;PST
dëshiroj	ke dëshiruar	V;2;SG;IND;PRF
punësoj	patë punësuar	V;1;SG;OPT;PRF
xhaxha	xhaxhaa	N;NOM;PL;NDEF
dajë	daje	N;ABL;PL;NDEF
shpall	shpallja	V;3;SG;IND;IPFV
qij	kanë qirë	V;3;PL;IND;PRF
komunikoj	komunikove	V;2;SG;IND;PST
organizoj	organizoftn	V;2;PL;OPT;PRS
argëtoj	argëtoni	V;2;PL;IND;PRS
dhuroj	dhuroftë	V;3;SG;OPT;PRS
vendos	venduua	V;2;PL;IMP
rri	të rrii	V;3;SG;SBJV;PST
fsheh	paskëshin fshuar	V;3;PL;ADM;PRF;PST
mbaroj	mbaruar	V;V.PTCP
mësoj	mësoit	V;2;PL;IND;PST
qortoj	të ketë qortuar	V;3;SG;SBJV;PRF
fsheh	qotë kenëenur	V;3;PL;OPT;PRF
sajoj	të sajoni	V;3;PL;SBJV;PRS
sulmoj	paska sulmuar	V;3;SG;ADM;PRF
zbeh	zbeha	V;1;SG;ADM;IPFV
tërheq	të ishim tërhuar	V;1;PL;SBJV;PRF;PST
arsimoj	arsimuar	V;2;SG;ADM;PRS
shkretoj	kam shkretuar	V;1;PL;IND;PRF
vendos	denduatë kisha a	V;1;SG;COND;PRF
mënd	mëndë	V;2;SG;COND;PRS
shpjegoj	paska shpjeguar	V;1;SG;ADM;PRF
dhunoj	dhunoni	V;1;PL;IND;PRS
ngrihem	të ngrihen	V;2;SG;SBJV;PRS
punëtor	punëtorëve	N;GEN;PL;DEF
zoologji	zoologjia	N;NOM;SG;DEF
thaj	ke tharë	V;2;SG;IND;PRF;PST
mësoj	të ke mësuar	V;1;SG;SBJV;PRF
stopohem	të stopoheni	V;2;PL;SBJV;PRS
fshij	të ketë fshirë	V;1;SG;SBJV;PRF
avulloj	duke pasë avulluar	V;V.PTCP;PST
rrezikoj	do të rrezikojë	V;1;SG;IND;FUT
shurroj	do të kesh shurruar	V;3;SG;OPT;PRF
lidh	të keni lidhur	V;1;PL;SBJV;PRF
dërmoj	dërmyekemi	V;1;PL;ADM;PRS
zgjoj	të zgjoni	V;2;PL;SBJV;PST
filxhan	filxhan	N;NOM;SG;NDEF
reagoj	reagonin	V;3;PL;ADM;PRS
sajoj	sajonin	V;3;PL;COND;PRS
femër	femëre	N;GEN;SG;NDEF
zhvillohem	të zhvillohemë	V;3;SG;SBJV;PRS
vij	vinit	V;2;PL;IND;IPFV
udhëzoj	të udhëzonë	V;3;SG;SBJV;PST
përdor	përdorë	V;3;SG;IND;PRS
pastroj	pastrfsh	V;2;SG;OPT;PRS
prek	prenë	V;2;SG;OPT;PRS
shurroj	paske shurruar	V;2;SG;ADM;PRF
mendoj	menduakëshe	V;2;SG;ADM;IPFV
kafshë	kafshe	N;DAT;SG;NDEF
miqësohem	miqësouam	V;1;PL;IND;PST
afrohem	afrohemi	V;1;PL;OPT;PRS
udhëhiqem	udhëhiqenë	V;3;SG;COND;PRS
bashkëndodhi	bashkëndodhish	N;ABL;PL;NDEF
zhvilloj	do të zhvillojmë	V;1;PL;IND;FUT
shpif	të isha shpifur	V;1;SG;SBJV;PRF;PST
pjekuni	pjekunisë	N;GEN;SG;DEF
njoftoj	njoftoa	V;1;SG;IND;PST
fërkoj	paskasha fërkuar	V;1;SG;ADM;PRF;PST
dashuroj	të dashuroi	V;1;SG;SBJV;PST
përkufizoj	të përkufizonin	V;2;PL;SBJV;PST
udhëhiqem	udhëhiqenin	V;2;PL;OPT;PRS
çlirohem	çlirohen	V;3;SG;ADM;PRS
notoj	notofsha	V;1;SG;ADM;PRS
transferoj	transferuar	V;1;PL;ADM;PRS
dërgoj	dërguakëshe	V;2;SG;ADM;IPFV
qen	qena	N;NOM;PL;DEF
kurvë	kurva	N;NOM;PL;DEF
rrugë	rruge	N;GEN;PL;DEF
tërheq	tërheaa	V;3;SG;ADM;IPFV
dermatologji	dermatologjia	N;NOM;SG;DEF
asgjësoj	do të asgjësojin	V;3;PL;IND;FUT
bëj	bo të i	V;2;PL;COND;PRS
përvojë	përvoje	N;GEN;PL;NDEF
burrë	burras	N;GEN;PL;DEF
zbeh	zbehë	V;3;SG;ADM;PRS
dhunoj	do të kenë dhunuar	V;3;PL;IND;PRF;FUT
afirmoj	afirmffsh	V;2;SG;OPT;PRS
kam	kaftë	V;3;SG;OPT;PRS
abuzoj	do të kishin abuzuar	V;3;PL;COND;PRF
zdrukthëtar	zdrukthëtare	N;ABL;SG;NDEF
bythë	bythat	N;ACC;PL;DEF
masturbohem	të kishte masturbuar	V;3;SG;SBJV;PRF;PST
përmirësoj	të përmirësotë	V;3;SG;SBJV;PST
abonohem	të kishin abonuar	V;3;PL;SBJV;PRF;PST
fërgoj	do të kesh <fërguar	V;3;SG;IND;PRF;FUT
përparoj	qofsh sulmuar	V;2;SG;OPT;PRF
shqipoj	të kenë shqipuar	V;1;PL;SBJV;PRF
parapëlqej	patë parapëlqer	V;3;PL;IND;PRF;PST
tërheq	tërhenin	V;3;PL;ADM;IPFV
prish	prishi	V;3;SG;ADM;PRS
qaj	paska qarë	V;1;SG;ADM;PRF;PST
kundërthem	të kundërthemë	V;3;SG;SBJV;PRS
parapëlqej	parapëlqeni	V;2;PL;OPT;PRS
pompoj	do të pomponi	V;2;PL;IND;FUT
mbuloj	mbulojja	V;1;SG;IND;IPFV
zbeh	do të kenë zbehur	V;1;PL;IND;PRF;FUT
këndoj	të kishin kënduar	V;3;PL;SBJV;PRF;PST
harroj	paskan harruar	V;3;PL;ADM;PRF
copëtoj	do të copëtosh	V;2;SG;IND;FUT
mbaroj	të mbaroua	V;2;SG;SBJV;PST
libër	libërs	N;GEN;SG;DEF
stopohem	stopohuakë	V;3;SG;ADM;IPFV
emën	emëneve	N;ABL;PL;DEF
ofendoj	të isha ofenduar	V;1;SG;SBJV;PRF;PST
lidh	do të lidhje	V;3;SG;IND;FUT
motër	motëri	N;NOM;PL;NDEF
sodomizoj	sodomizojë	V;3;SG;IND;PRS
hardhucë	hardhucash	N;ABL;PL;NDEF
qëndroj	qëndrosh	V;2;PL;ADM;PRS
përsos	të përsuam	V;1;PL;SBJV;PST
bëhem	paskeni bëhuar	V;2;PL;ADM;PRF;PRF
veçoj	veçoni	V;2;PL;IND;PRS
votoj	ka votuar	V;3;SG;IND;PRF;PST
përparoj	përparofsh	V;2;SG;OPT;PRS
ndal	ndalin	V;2;PL;IND;PRS
dëmtoj	dëmtoje	V;3;SG;IND;IPFV
admiroj	admironi	V;3;PL;IND;PRS
zhvilloj	zhvillu	V;2;SG;IMP
mësoj	të mësonin	V;3;PL;SBJV;PST
hap	qofsh sulmuar	V;2;SG;OPT;PRF
organizoj	do të kenë organizuar	V;2;PL;IND;PRF;FUT
stopohem	duke pasë stopuahuar	V;V.PTCP;PST
plagoj	plaguakëshit	V;2;PL;ADM;IPFV
copëtoj	cuar	V;3;PL;OPT;PRF
bekoj	të bekojë	V;3;SG;SBJV;PRS
bashkëveproj	bashkëvepruar	V;2;PL;IND;PST
mendoj	do të ke menduar	V;3;SG;IND;PRF;FUT
plagoj	të plagoi	V;1;SG;SBJV;PST
konsistoj	konsistoa	V;1;SG;IND;PST
reagoj	paskeni reaguar	V;2;PL;ADM;PRF;PRF
mrekulli	mrekullisë	N;GEN;SG;DEF
puth	do të kenë puthur	V;2;PL;IND;PRF;FUT
kërkoj	kërkuar	V;2;PL;IMP
bark	barqeve	N;DAT;PL;DEF
luftëtar	luftëtari	N;DAT;SG;NDEF
lezbike	lezbikesh	N;ABL;PL;NDEF
mbuloj	të mbulojë	V;1;SG;SBJV;PRS
propozoj	do të kishit propozuar	V;2;PL;COND;PRF
dashuroj	dashuruakëni	V;2;PL;OPT;PRS
skllavëroj	paskësh veçuar	V;3;SG;ADM;PRF;PST
shqipoj	të shqiposh	V;2;SG;SBJV;PST
qij	paskëshe qirë	V;2;SG;ADM;PRF;PST
lë	lëja	V;1;SG;IND;IPFV
themeloj	themeloni	V;2;PL;COND;PRS
reagoj	ke reaguar	V;2;SG;IND;PRF
themeloj	të isha themeluar	V;1;SG;SBJV;PRF;PST
gaboj	gabon	V;2;SG;IND;PRS
fiziolog	fiziologi	N;DAT;SG;NDEF
absorboj	do të absorboni	V;2;PL;IND;FUT
vë	do të kenë vua	V;2;PL;IND;PRF;FUT
këndoj	të ke kënduar	V;1;SG;SBJV;PRF
skllavëri	skllavëris	N;ABL;SG;DEF
mësohem	patëm mësuar	V;1;PL;IND;PRF;PST
mas	ke marë	V;2;SG;IND;PRF
rënkoj	rënkosh	V;2;SG;ADM;PRS
tërheq	do të tërheqë	V;1;SG;IND;FUT
njoftoj	njoftuakësha	V;1;SG;ADM;IPFV
kam	kam	V;1;SG;IND;PST
trishtohem	katë trishtuar	V;3;SG;IND;PRF;PST
jap	do të kenë japur	V;3;SG;IND;PRF;FUT
udhëzoj	paskëshin udhëzuar	V;3;PL;ADM;PRF;PST
hidhërohem	hidhëroheni	V;1;PL;COND;PRS
shfuqizoj	patë shfuqizuar	V;2;SG;IND;PRF;PST
dëmtoj	domtuar	V;1;SG;OPT;PRF
relaksohem	paskëshe relaksuar	V;2;SG;ADM;PRF;PST
rrezikoj	do të kenë rrezikuar	V;1;PL;IND;PRF;FUT
arratisem	të keshe arratisuar	V;2;SG;SBJV;PRF
koleg	kolegi	N;DAT;SG;DEF
pederasti	pederastia	N;DAT;SG;DEF
preferoj	preferojja	V;1;SG;IND;IPFV
zbuloj	të zbulonin	V;3;PL;SBJV;PST
organizëm	organizëm	N;GEN;SG;NDEF
urinoj	kam urinuar	V;1;PL;IND;PRF
dërmoj	të dërmon	V;2;SG;SBJV;PRS
qesh	ka të qesha	V;1;SG;IND;PRF;FUT
dhunoj	dhunonit	V;2;PL;IND;IPFV
gju	gjueve	N;DAT;PL;DEF
vyshkem	do të kishe ngrënë	V;2;SG;COND;PRF
birë	bire	N;GEN;SG;NDEF
lyp	lyuar	V;V.PTCP
skllavëroj	skllavëru	V;2;SG;IMP
abdikoj	të abdikonin	V;2;PL;SBJV;PST
veçoj	ka veçuar	V;3;SG;IND;PRF
takoj	duke pasë takuar	V;V.PTCP;PST
armatos	do të kishin armatuar	V;3;PL;OPT;PRF
asgjësoj	do të asgjësojë	V;3;SG;IND;FUT
çukë	çuke	N;ACC;SG;NDEF
fshij	fshin	V;3;SG;IND;PRS
femër	femëri	N;NOM;PL;NDEF
komunikoj	do të kish ash munikuar	V;1;SG;COND;PRF
çliroj	çlironë	V;3;SG;ADM;PRS
dhuroj	duke dhuruar	V;V.PTCP;PRS
shpirtëroj	paskësh vshpirtëruar	V;3;SG;ADM;PRF;PST
them	të keni thuar	V;2;PL;SBJV;PRF;PRF
fërkoj	do të kishe fërkuar	V;2;SG;COND;PRF
zgjohem	të zgjohen	V;3;PL;SBJV;PST
ishull	ishulls	N;ABL;SG;DEF
kafshoj	qafshuar	V;3;SG;OPT;PRF
lafshë	lafsha	N;NOM;SG;DEF
çliroj	ke çliruar	V;2;SG;IND;PRF;PST
sodomizohem	so të kishim dërmuar	V;1;PL;COND;PRF
konsistoj	do të kenë konsistuar	V;3;PL;IND;PRF;FUT
përkëdhel	të ishim përkuar	V;1;PL;SBJV;PRF;PST
shikoj	do të kesh <shikuar	V;3;SG;IND;PRF;FUT
notoj	të notoni	V;2;PL;SBJV;PRS
shtëpi	shtëpie	N;ABL;SG;NDEF
gënjej	të keshe gënjerë	V;2;SG;SBJV;PRF
jam	fsh	V;2;SG;OPT;PRS
mbuloj	mbuluan	V;3;PL;IND;PST
qortoj	qortonin	V;3;PL;IND;IPFV
arësyetoj	do të kesh <arësyetuar	V;3;SG;IND;PRF;FUT
votoj	votuat	V;2;PL;IND;PST
dëmtoj	dëmtoni	V;3;PL;IND;PRS
dëmtoj	do të keshmtuar	V;3;PL;OPT;PRF
legjendë	legjenda	N;NOM;SG;DEF
sodomizoj	të sodomizoji	V;1;PL;SBJV;PRS
përkëdhel	përkëdhele	V;2;SG;IND;IPFV
masturboj	masturboni	V;3;PL;IND;PRS
ofendoj	ofendofsha	V;1;SG;ADM;PRS
zyrë	zyrënë	N;ACC;SG;DEF
reagim	reagiqeve	N;DAT;PL;DEF
trishtohem	trishtuar	V;1;SG;COND;PRF
konsistoj	të keshe konsistuar	V;2;SG;SBJV;PRF
zhvillim	zhvillime	N;GEN;SG;NDEF
këndoj	konduatë kasha rë	V;1;SG;COND;PRF
mardh	mardhu	V;2;SG;IMP
takoj	takuam	V;1;PL;IND;PST
besoj	besojja	V;1;SG;IND;IPFV
ndërlikoj	ndërlikove	V;2;SG;IND;PST
ishull	ishullat	N;ACC;PL;NDEF
planet	planete	N;GEN;SG;NDEF
peshohem	peshohen	V;1;SG;COND;PRS
ha	hani	V;2;PL;IND;PST
bëhem	do të bëhemmë	V;1;PL;IND;FUT
abdikoj	katë abdikuar	V;3;SG;IND;PRF;PST
tradhëtoj	patë tradhëtuar	V;3;PL;IND;PRF;PST
komunikoj	komunikuam	V;1;PL;OPT;PRS
dardhë	dardhe	N;GEN;SG;NDEF
lexoj	lexar	V;1;SG;OPT;PRF
përparoj	kenë përparuar	V;2;PL;IND;PRF;PRF
fushatë	fushatë	N;NOM;SG;NDEF
përsos	përsuan	V;3;PL;IND;PST
analogji	analogjie	N;GEN;SG;NDEF
mas	të kesh maua	V;1;SG;SBJV;PRF
shkatërroj	shkatërroni	V;1;PL;COND;PRS
plagoj	do të plagojë	V;3;SG;IND;FUT
urinoj	të urinoni	V;3;PL;SBJV;PRS
parabolë	parabolas	N;DAT;SG;DEF
abdikoj	paskeni abdikuar	V;2;PL;OPT;PRF
dërmoj	do të kenë dërmuar	V;2;PL;IND;PRF;FUT
shfuqizoj	të kenë shfuqizuar	V;3;PL;SBJV;PRF
kundërthem	kundërthuakëshim	V;1;PL;ADM;IPFV
shigjetar	shigjetari	N;NOM;PL;DEF
harroj	duke pasë harruar	V;V.PTCP;PST
qelizë	qelizqeve	N;ABL;PL;DEF
konsistoj	qofsh sulmuar	V;2;SG;OPT;PRF
udhëhiqem	udhëhiqefsha	V;1;SG;OPT;PRS
kronologji	kronologjiqe	N;DAT;PL;DEF
sqarim	sqarimi	N;DAT;SG;DEF
njoftoj	paska njoftuar	V;1;SG;ADM;PRF
ndal	ndalnin	V;3;PL;ADM;IPFV
fsheh	do të kishin fshehur	V;3;PL;COND;PRF
urinoj	patë urinuar	V;2;SG;IND;PRF;PST
masturbohem	masturbuar	V;2;PL;IMP
bisedoj	biseduakëshim	V;1;PL;ADM;IPFV
shtrembërim	shtrembërimë	N;GEN;SG;DEF
qendër	qendër	N;NOM;SG;NDEF
abuzoj	të abuzoni	V;2;PL;SBJV;PRS
buzëqesh	të buzëqesht	V;2;PL;SBJV;PST
justifikoj	paskëshim justifikuar	V;1;PL;ADM;PRF;PST
shqipoj	do të kishin shqipuar	V;3;PL;OPT;PRF
ndih	ndimim	V;1;PL;OPT;PRS
zbeh	zbehsha	V;1;SG;OPT;PRS
udhëheq	të udhëheqë	V;3;SG;SBJV;PST
lahem	laheni	V;2;PL;OPT;PRS
jetoj	jetoje	V;2;SG;IND;IPFV
bashkëveproj	bashkëvepruakësha	V;1;SG;ADM;IPFV
dhuroj	dhuruar	V;V.PTCP
ndaj	paskëshim nduar	V;1;PL;ADM;PRF;PST
vij	vim	V;1;PL;COND;PRS
sodomizoj	sodomizoni	V;1;PL;IND;PRS
fsheh	fsheni	V;2;PL;IMP
uroj	uronin	V;2;PL;COND;PRS
lyp	do të kesh vluar	V;2;SG;IND;PRF;FUT
yndyrë	yndyrë	N;NOM;SG;NDEF
lyp	luar	V;1;PL;OPT;PRF
vazhdoj	kenë vazhduar	V;2;PL;IND;PRF
luftoj	do të luftosh	V;2;SG;IND;FUT
ngrihem	ngrihjakëemi	V;1;SG;ADM;IPFV
qij	qoë kësh	V;3;SG;OPT;PRF
gjahtar	gjahtare	N;ABL;SG;NDEF
kafshë	kafshe	N;ACC;SG;NDEF
shfuqizoj	do të shfuqizojë	V;1;SG;IND;FUT
copëtoj	copëtoni	V;2;PL;IND;IPFV
forcë	forcas	N;GEN;PL;DEF
sociologji	sociologjia	N;NOM;SG;DEF
them	thmim	V;1;PL;OPT;PRS
yndyrë	yndyreve	N;DAT;PL;NDEF
ledhatoj	ledhatuar	V;1;SG;COND;PRF
ngjitem	do të ngjitemë	V;1;SG;IND;FUT
përkëdhel	përkëdhelit	V;2;PL;OPT;PRS
lahem	do të kishe ngrënë	V;2;SG;COND;PRF
nënkuptoj	paska nënkuptuar	V;1;SG;ADM;PRF;PST
bisedoj	bisedonë	V;3;SG;ADM;PRS
mbarohem	paska mbaruaruar	V;1;SG;ADM;PRF
absorboj	patë absorbuar	V;3;PL;IND;PRF;PST
admiroj	admiroj	V;1;SG;IND;PRS
ngrij	paska ngrirë	V;3;SG;ADM;PRF
dhuroj	do të dhurosh	V;2;SG;IND;FUT
mbaroj	paskëshe mbaruar	V;2;SG;ADM;PRF;PST
qëndroj	qndruakëshin	V;3;PL;ADM;IPFV
hap	paskeni harur	V;2;PL;ADM;PRF
krijoj	keni krijuar	V;2;PL;IND;PRF
peshkaqen	peshkaqeneve	N;ABL;PL;DEF
reagoj	do të kenë reaguar	V;3;PL;IND;PRF;FUT
pranoj	pranuar	V;V.PTCP
shkëlqej	shklquakëshit	V;2;PL;ADM;IPFV
bëj	të relaksohen	V;3;PL;SBJV;PRS
shoh	patë shuar	V;3;PL;IND;PRF;PST
prodhoj	prodhuakëshit	V;2;PL;ADM;IPFV
kërcej	kërcen	V;2;SG;OPT;PRS
lëndim	lëndimë	N;GEN;SG;DEF
bjond	bjondat	N;ACC;PL;DEF
kërcej	kërcuakëshe	V;2;SG;ADM;IPFV
kërkesë	kërkesëa	N;NOM;PL;NDEF
legjendë	legjendat	N;ACC;PL;NDEF
zbeh	zbehe	V;2;SG;IND;IPFV
thaj	thas	V;2;SG;ADM;PRS
stimuloj	të stimulojë	V;3;SG;SBJV;PRS
kuptoj	të ketë kuptuar	V;3;SG;SBJV;PRF
parapëlqej	të parapëlqen	V;3;PL;SBJV;PRS
përkufizoj	përkufizyyekemi	V;1;PL;ADM;PRS
dëshiroj	paskasha dëshiruar	V;1;SG;ADM;PRF;PST
komunikoj	komunikoi	V;3;SG;IND;PST
skllavëri	skllavërie	N;ACC;SG;NDEF
kërkoj	do të kishte kërkuar	V;3;SG;COND;PRF
pastroj	pastroftëm	V;1;PL;COND;PRS
prish	të prishin	V;3;PL;SBJV;PST
luftoj	luftuakëshit	V;2;PL;ADM;PRS
asnjanësoj	asnjanësomi	V;1;PL;COND;PRS
sulmoj	do të kenë sulmuar	V;2;PL;IND;PRF;FUT
mendoj	menduar	V;2;PL;IND;PST
dorëzohem	dorëzuam	V;1;PL;SBJV;PST
akrep	akrepat	N;ACC;PL;DEF
dhunoj	do të dhunojë	V;1;SG;IND;FUT
zbuloj	paskeni zbuluar	V;2;PL;ADM;PRF;PRF
rri	paskeni rrua	V;2;PL;ADM;PRF;PRF
lë	l	V;2;SG;ADM;PRS
skelet	skeleti	N;NOM;SG;NDEF
